# mesh name: boxMesh_1
# primitive scorer name: nOfStepGamma
# iX, iY, iZ, total(value) , total(val^2), entry
1,2,17,0,0,0
1,2,18,0,0,0
1,2,19,0,0,0
1,3,0,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,3,0,0,0
1,3,4,0,0,0
1,3,5,0,0,0
1,3,6,0,0,0
1,3,7,0,0,0
1,3,8,0,0,0
1,3,9,0,0,0
1,3,10,0,0,0
1,3,11,0,0,0
1,3,12,0,0,0
1,3,13,0,0,0
1,3,14,0,0,0
1,3,15,0,0,0
1,3,16,0,0,0
1,3,17,0,0,0
1,3,18,0,0,0
1,3,19,0,0,0
1,4,0,0,0,0
1,4,1,0,0,0
1,4,2,0,0,0
1,4,3,0,0,0
1,4,4,0,0,0
1,4,5,0,0,0
1,4,6,0,0,0
1,4,7,0,0,0
1,4,8,0,0,0
1,4,9,0,0,0
1,4,10,0,0,0
1,4,11,0,0,0
1,4,12,0,0,0
1,4,13,0,0,0
1,4,14,0,0,0
1,4,15,0,0,0
1,4,16,0,0,0
1,4,17,0,0,0
1,4,18,0,0,0
1,4,19,0,0,0
1,5,0,0,0,0
1,5,1,0,0,0
1,5,2,0,0,0
1,5,3,0,0,0
1,5,4,0,0,0
1,5,5,0,0,0
1,5,6,0,0,0
1,5,7,0,0,0
1,5,8,0,0,0
1,5,9,0,0,0
1,5,10,0,0,0
1,5,11,0,0,0
1,5,12,0,0,0
1,5,13,0,0,0
1,5,14,0,0,0
1,5,15,0,0,0
1,5,16,0,0,0
1,5,17,0,0,0
1,5,18,0,0,0
1,5,19,0,0,0
1,6,0,0,0,0
1,6,1,0,0,0
1,6,2,0,0,0
1,6,3,0,0,0
1,6,4,0,0,0
1,6,5,0,0,0
1,6,6,0,0,0
1,6,7,0,0,0
1,6,8,0,0,0
1,6,9,0,0,0
1,6,10,0,0,0
1,6,11,0,0,0
1,6,12,0,0,0
1,6,13,0,0,0
1,6,14,0,0,0
1,6,15,0,0,0
1,6,16,0,0,0
1,6,17,0,0,0
1,6,18,0,0,0
1,6,19,0,0,0
1,7,0,0,0,0
1,7,1,0,0,0
1,7,2,0,0,0
1,7,3,0,0,0
1,7,4,0,0,0
1,7,5,0,0,0
1,7,6,0,0,0
1,7,7,0,0,0
1,7,8,0,0,0
1,7,9,0,0,0
1,7,10,0,0,0
1,7,11,0,0,0
1,7,12,0,0,0
1,7,13,0,0,0
1,7,14,0,0,0
1,7,15,0,0,0
1,7,16,0,0,0
1,7,17,0,0,0
1,7,18,0,0,0
1,7,19,0,0,0
1,8,0,0,0,0
1,8,1,0,0,0
1,8,2,0,0,0
1,8,3,0,0,0
1,8,4,0,0,0
1,8,5,0,0,0
1,8,6,0,0,0
1,8,7,0,0,0
1,8,8,0,0,0
1,8,9,0,0,0
1,8,10,0,0,0
1,8,11,0,0,0
1,8,12,0,0,0
1,8,13,0,0,0
1,8,14,0,0,0
1,8,15,0,0,0
1,8,16,0,0,0
1,8,17,0,0,0
1,8,18,0,0,0
1,8,19,0,0,0
1,9,0,0,0,0
1,9,1,0,0,0
1,9,2,0,0,0
1,9,3,0,0,0
1,9,4,0,0,0
1,9,5,0,0,0
1,9,6,0,0,0
1,9,7,0,0,0
1,9,8,0,0,0
1,9,9,0,0,0
1,9,10,0,0,0
1,9,11,0,0,0
1,9,12,0,0,0
1,9,13,0,0,0
1,9,14,0,0,0
1,9,15,0,0,0
1,9,16,0,0,0
1,9,17,0,0,0
1,9,18,0,0,0
1,9,19,0,0,0
1,10,0,0,0,0
1,10,1,0,0,0
1,10,2,0,0,0
1,10,3,0,0,0
1,10,4,0,0,0
1,10,5,0,0,0
1,10,6,0,0,0
1,10,7,0,0,0
1,10,8,0,0,0
1,10,9,0,0,0
1,10,10,0,0,0
1,10,11,0,0,0
1,10,12,0,0,0
1,10,13,0,0,0
1,10,14,0,0,0
1,10,15,0,0,0
1,10,16,0,0,0
1,10,17,0,0,0
1,10,18,0,0,0
1,10,19,0,0,0
1,11,0,0,0,0
1,11,1,0,0,0
1,11,2,0,0,0
1,11,3,0,0,0
1,11,4,0,0,0
1,11,5,0,0,0
1,11,6,0,0,0
1,11,7,0,0,0
1,11,8,0,0,0
1,11,9,0,0,0
1,11,10,0,0,0
1,11,11,0,0,0
1,11,12,0,0,0
1,11,13,0,0,0
1,11,14,0,0,0
1,11,15,0,0,0
1,11,16,0,0,0
1,11,17,0,0,0
1,11,18,0,0,0
1,11,19,0,0,0
2,0,0,0,0,0
2,0,1,0,0,0
2,0,2,0,0,0
2,0,3,0,0,0
2,0,4,0,0,0
2,0,5,0,0,0
2,0,6,0,0,0
2,0,7,0,0,0
2,0,8,0,0,0
2,0,9,0,0,0
2,0,10,0,0,0
2,0,11,0,0,0
2,0,12,0,0,0
2,0,13,0,0,0
2,0,14,0,0,0
2,0,15,0,0,0
2,0,16,0,0,0
2,0,17,0,0,0
2,0,18,0,0,0
2,0,19,0,0,0
2,1,0,0,0,0
2,1,1,0,0,0
2,1,2,0,0,0
2,1,3,0,0,0
2,1,4,0,0,0
2,1,5,0,0,0
2,1,6,0,0,0
2,1,7,0,0,0
2,1,8,0,0,0
2,1,9,0,0,0
2,1,10,0,0,0
2,1,11,0,0,0
2,1,12,0,0,0
2,1,13,0,0,0
2,1,14,0,0,0
2,1,15,0,0,0
2,1,16,0,0,0
2,1,17,0,0,0
2,1,18,0,0,0
2,1,19,0,0,0
2,2,0,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,7,0,0,0
2,2,8,0,0,0
2,2,9,0,0,0
2,2,10,0,0,0
2,2,11,0,0,0
2,2,12,0,0,0
2,2,13,0,0,0
2,2,14,0,0,0
2,2,15,0,0,0
2,2,16,0,0,0
2,2,17,0,0,0
2,2,18,0,0,0
2,2,19,0,0,0
2,3,0,0,0,0
2,3,1,0,0,0
2,3,2,0,0,0
2,3,3,0,0,0
2,3,4,0,0,0
2,3,5,0,0,0
2,3,6,0,0,0
2,3,7,0,0,0
2,3,8,0,0,0
2,3,9,0,0,0
2,3,10,0,0,0
2,3,11,0,0,0
2,3,12,0,0,0
2,3,13,0,0,0
2,3,14,0,0,0
2,3,15,0,0,0
2,3,16,0,0,0
2,3,17,0,0,0
2,3,18,0,0,0
2,3,19,0,0,0
2,4,0,0,0,0
2,4,1,0,0,0
2,4,2,0,0,0
2,4,3,0,0,0
2,4,4,0,0,0
2,4,5,0,0,0
2,4,6,0,0,0
2,4,7,0,0,0
2,4,8,0,0,0
2,4,9,0,0,0
2,4,10,0,0,0
2,4,11,0,0,0
2,4,12,0,0,0
2,4,13,0,0,0
2,4,14,0,0,0
2,4,15,0,0,0
2,4,16,0,0,0
2,4,17,0,0,0
2,4,18,0,0,0
2,4,19,0,0,0
2,5,0,0,0,0
2,5,1,0,0,0
2,5,2,0,0,0
2,5,3,0,0,0
2,5,4,0,0,0
2,5,5,0,0,0
2,5,6,0,0,0
2,5,7,0,0,0
2,5,8,0,0,0
2,5,9,0,0,0
2,5,10,0,0,0
2,5,11,0,0,0
2,5,12,0,0,0
2,5,13,0,0,0
2,5,14,0,0,0
2,5,15,0,0,0
2,5,16,0,0,0
2,5,17,0,0,0
2,5,18,0,0,0
2,5,19,0,0,0
2,6,0,0,0,0
2,6,1,0,0,0
2,6,2,0,0,0
2,6,3,0,0,0
2,6,4,0,0,0
2,6,5,0,0,0
2,6,6,0,0,0
2,6,7,0,0,0
2,6,8,0,0,0
2,6,9,0,0,0
2,6,10,0,0,0
2,6,11,0,0,0
2,6,12,0,0,0
2,6,13,0,0,0
2,6,14,0,0,0
2,6,15,0,0,0
2,6,16,0,0,0
2,6,17,0,0,0
2,6,18,0,0,0
2,6,19,0,0,0
2,7,0,0,0,0
2,7,1,0,0,0
2,7,2,0,0,0
2,7,3,0,0,0
2,7,4,0,0,0
2,7,5,0,0,0
2,7,6,0,0,0
2,7,7,0,0,0
2,7,8,0,0,0
2,7,9,0,0,0
2,7,10,0,0,0
2,7,11,0,0,0
2,7,12,0,0,0
2,7,13,0,0,0
2,7,14,0,0,0
2,7,15,0,0,0
2,7,16,0,0,0
2,7,17,0,0,0
2,7,18,0,0,0
2,7,19,0,0,0
2,8,0,0,0,0
2,8,1,0,0,0
2,8,2,0,0,0
2,8,3,0,0,0
2,8,4,0,0,0
2,8,5,0,0,0
2,8,6,0,0,0
2,8,7,0,0,0
2,8,8,0,0,0
2,8,9,0,0,0
2,8,10,0,0,0
2,8,11,0,0,0
2,8,12,0,0,0
2,8,13,0,0,0
2,8,14,0,0,0
2,8,15,0,0,0
2,8,16,0,0,0
2,8,17,0,0,0
2,8,18,0,0,0
2,8,19,0,0,0
2,9,0,0,0,0
2,9,1,0,0,0
2,9,2,0,0,0
2,9,3,0,0,0
2,9,4,0,0,0
2,9,5,0,0,0
2,9,6,0,0,0
2,9,7,0,0,0
2,9,8,0,0,0
2,9,9,0,0,0
2,9,10,0,0,0
2,9,11,0,0,0
2,9,12,0,0,0
2,9,13,0,0,0
2,9,14,0,0,0
2,9,15,0,0,0
2,9,16,0,0,0
2,9,17,0,0,0
2,9,18,0,0,0
2,9,19,0,0,0
2,10,0,0,0,0
2,10,1,0,0,0
2,10,2,0,0,0
2,10,3,0,0,0
2,10,4,0,0,0
2,10,5,0,0,0
2,10,6,0,0,0
2,10,7,0,0,0
2,10,8,0,0,0
2,10,9,0,0,0
2,10,10,0,0,0
2,10,11,0,0,0
2,10,12,0,0,0
2,10,13,0,0,0
2,10,14,0,0,0
2,10,15,0,0,0
2,10,16,0,0,0
2,10,17,0,0,0
2,10,18,0,0,0
2,10,19,0,0,0
2,11,0,0,0,0
2,11,1,0,0,0
2,11,2,0,0,0
2,11,3,0,0,0
2,11,4,0,0,0
2,11,5,0,0,0
2,11,6,0,0,0
2,11,7,0,0,0
2,11,8,0,0,0
2,11,9,0,0,0
2,11,10,0,0,0
2,11,11,0,0,0
2,11,12,0,0,0
2,11,13,0,0,0
2,11,14,0,0,0
2,11,15,0,0,0
2,11,16,0,0,0
2,11,17,0,0,0
2,11,18,0,0,0
2,11,19,0,0,0
3,0,0,0,0,0
3,0,1,0,0,0
3,0,2,0,0,0
3,0,3,0,0,0
3,0,4,0,0,0
3,0,5,0,0,0
3,0,6,0,0,0
3,0,7,0,0,0
3,0,8,0,0,0
3,0,9,0,0,0
3,0,10,0,0,0
3,0,11,0,0,0
3,0,12,0,0,0
3,0,13,0,0,0
3,0,14,0,0,0
3,0,15,0,0,0
3,0,16,0,0,0
3,0,17,0,0,0
3,0,18,0,0,0
3,0,19,0,0,0
3,1,0,0,0,0
3,1,1,0,0,0
3,1,2,0,0,0
3,1,3,0,0,0
3,1,4,0,0,0
3,1,5,0,0,0
3,1,6,0,0,0
3,1,7,0,0,0
3,1,8,0,0,0
3,1,9,0,0,0
3,1,10,0,0,0
3,1,11,0,0,0
3,1,12,0,0,0
3,1,13,0,0,0
3,1,14,0,0,0
3,1,15,0,0,0
3,1,16,0,0,0
3,1,17,0,0,0
3,1,18,0,0,0
3,1,19,0,0,0
3,2,0,0,0,0
3,2,1,0,0,0
3,2,2,0,0,0
3,2,3,0,0,0
3,2,4,0,0,0
3,2,5,0,0,0
3,2,6,0,0,0
3,2,7,0,0,0
3,2,8,0,0,0
3,2,9,0,0,0
3,2,10,0,0,0
3,2,11,0,0,0
3,2,12,0,0,0
3,2,13,0,0,0
3,2,14,0,0,0
3,2,15,0,0,0
3,2,16,0,0,0
3,2,17,0,0,0
3,2,18,0,0,0
3,2,19,0,0,0
3,3,0,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,7,0,0,0
3,3,8,0,0,0
3,3,9,0,0,0
3,3,10,0,0,0
3,3,11,0,0,0
3,3,12,0,0,0
3,3,13,0,0,0
3,3,14,0,0,0
3,3,15,0,0,0
3,3,16,0,0,0
3,3,17,0,0,0
3,3,18,0,0,0
3,3,19,0,0,0
3,4,0,0,0,0
3,4,1,0,0,0
3,4,2,0,0,0
3,4,3,0,0,0
3,4,4,0,0,0
3,4,5,0,0,0
3,4,6,0,0,0
3,4,7,0,0,0
3,4,8,0,0,0
3,4,9,0,0,0
3,4,10,0,0,0
3,4,11,0,0,0
3,4,12,0,0,0
3,4,13,0,0,0
3,4,14,0,0,0
3,4,15,0,0,0
3,4,16,0,0,0
3,4,17,0,0,0
3,4,18,0,0,0
3,4,19,0,0,0
3,5,0,0,0,0
3,5,1,0,0,0
3,5,2,0,0,0
3,5,3,0,0,0
3,5,4,0,0,0
3,5,5,0,0,0
3,5,6,0,0,0
3,5,7,0,0,0
3,5,8,0,0,0
3,5,9,0,0,0
3,5,10,0,0,0
3,5,11,0,0,0
3,5,12,0,0,0
3,5,13,0,0,0
3,5,14,0,0,0
3,5,15,0,0,0
3,5,16,0,0,0
3,5,17,0,0,0
3,5,18,0,0,0
3,5,19,0,0,0
3,6,0,0,0,0
3,6,1,0,0,0
3,6,2,0,0,0
3,6,3,0,0,0
3,6,4,0,0,0
3,6,5,0,0,0
3,6,6,0,0,0
3,6,7,0,0,0
3,6,8,0,0,0
3,6,9,0,0,0
3,6,10,0,0,0
3,6,11,0,0,0
3,6,12,0,0,0
3,6,13,0,0,0
3,6,14,0,0,0
3,6,15,0,0,0
3,6,16,0,0,0
3,6,17,0,0,0
3,6,18,0,0,0
3,6,19,0,0,0
3,7,0,0,0,0
3,7,1,0,0,0
3,7,2,0,0,0
3,7,3,0,0,0
3,7,4,0,0,0
3,7,5,0,0,0
3,7,6,0,0,0
3,7,7,0,0,0
3,7,8,0,0,0
3,7,9,0,0,0
3,7,10,0,0,0
3,7,11,0,0,0
3,7,12,0,0,0
3,7,13,0,0,0
3,7,14,0,0,0
3,7,15,0,0,0
3,7,16,0,0,0
3,7,17,0,0,0
3,7,18,0,0,0
3,7,19,0,0,0
3,8,0,0,0,0
3,8,1,0,0,0
3,8,2,0,0,0
3,8,3,0,0,0
3,8,4,0,0,0
3,8,5,0,0,0
3,8,6,0,0,0
3,8,7,0,0,0
3,8,8,0,0,0
3,8,9,0,0,0
3,8,10,0,0,0
3,8,11,0,0,0
3,8,12,0,0,0
3,8,13,0,0,0
3,8,14,0,0,0
3,8,15,0,0,0
3,8,16,0,0,0
3,8,17,0,0,0
3,8,18,0,0,0
3,8,19,0,0,0
3,9,0,0,0,0
3,9,1,0,0,0
3,9,2,0,0,0
3,9,3,0,0,0
3,9,4,0,0,0
3,9,5,0,0,0
3,9,6,0,0,0
3,9,7,0,0,0
3,9,8,0,0,0
3,9,9,0,0,0
3,9,10,0,0,0
3,9,11,0,0,0
3,9,12,0,0,0
3,9,13,0,0,0
3,9,14,0,0,0
3,9,15,0,0,0
3,9,16,0,0,0
3,9,17,0,0,0
3,9,18,0,0,0
3,9,19,0,0,0
3,10,0,0,0,0
3,10,1,0,0,0
3,10,2,0,0,0
3,10,3,0,0,0
3,10,4,0,0,0
3,10,5,0,0,0
3,10,6,0,0,0
3,10,7,0,0,0
3,10,8,0,0,0
3,10,9,0,0,0
3,10,10,0,0,0
3,10,11,0,0,0
3,10,12,0,0,0
3,10,13,0,0,0
3,10,14,0,0,0
3,10,15,0,0,0
3,10,16,0,0,0
3,10,17,0,0,0
3,10,18,0,0,0
3,10,19,0,0,0
3,11,0,0,0,0
3,11,1,0,0,0
3,11,2,0,0,0
3,11,3,0,0,0
3,11,4,0,0,0
3,11,5,0,0,0
3,11,6,0,0,0
3,11,7,0,0,0
3,11,8,0,0,0
3,11,9,0,0,0
3,11,10,0,0,0
3,11,11,0,0,0
3,11,12,0,0,0
3,11,13,0,0,0
3,11,14,0,0,0
3,11,15,0,0,0
3,11,16,0,0,0
3,11,17,0,0,0
3,11,18,0,0,0
3,11,19,0,0,0
4,0,0,0,0,0
4,0,1,0,0,0
4,0,2,0,0,0
4,0,3,0,0,0
4,0,4,0,0,0
4,0,5,0,0,0
4,0,6,0,0,0
4,0,7,0,0,0
4,0,8,0,0,0
4,0,9,0,0,0
4,0,10,0,0,0
4,0,11,0,0,0
4,0,12,0,0,0
4,0,13,0,0,0
4,0,14,0,0,0
4,0,15,0,0,0
4,0,16,0,0,0
4,0,17,0,0,0
4,0,18,0,0,0
4,0,19,0,0,0
4,1,0,0,0,0
4,1,1,0,0,0
4,1,2,0,0,0
4,1,3,0,0,0
4,1,4,0,0,0
4,1,5,0,0,0
4,1,6,0,0,0
4,1,7,0,0,0
4,1,8,0,0,0
4,1,9,0,0,0
4,1,10,0,0,0
4,1,11,0,0,0
4,1,12,0,0,0
4,1,13,0,0,0
4,1,14,0,0,0
4,1,15,0,0,0
4,1,16,0,0,0
4,1,17,0,0,0
4,1,18,0,0,0
4,1,19,0,0,0
4,2,0,0,0,0
4,2,1,0,0,0
4,2,2,0,0,0
4,2,3,0,0,0
4,2,4,0,0,0
4,2,5,0,0,0
4,2,6,0,0,0
4,2,7,0,0,0
4,2,8,0,0,0
4,2,9,0,0,0
4,2,10,0,0,0
4,2,11,0,0,0
4,2,12,0,0,0
4,2,13,0,0,0
4,2,14,0,0,0
4,2,15,0,0,0
4,2,16,0,0,0
4,2,17,0,0,0
4,2,18,0,0,0
4,2,19,0,0,0
4,3,0,0,0,0
4,3,1,0,0,0
4,3,2,0,0,0
4,3,3,0,0,0
4,3,4,0,0,0
4,3,5,0,0,0
4,3,6,0,0,0
4,3,7,0,0,0
4,3,8,0,0,0
4,3,9,0,0,0
4,3,10,0,0,0
4,3,11,0,0,0
4,3,12,0,0,0
4,3,13,0,0,0
4,3,14,0,0,0
4,3,15,0,0,0
4,3,16,0,0,0
4,3,17,0,0,0
4,3,18,0,0,0
4,3,19,0,0,0
4,4,0,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,7,0,0,0
4,4,8,0,0,0
4,4,9,0,0,0
4,4,10,0,0,0
4,4,11,0,0,0
4,4,12,0,0,0
4,4,13,0,0,0
4,4,14,0,0,0
4,4,15,0,0,0
4,4,16,0,0,0
4,4,17,0,0,0
4,4,18,0,0,0
4,4,19,0,0,0
4,5,0,0,0,0
4,5,1,0,0,0
4,5,2,0,0,0
4,5,3,0,0,0
4,5,4,0,0,0
4,5,5,0,0,0
4,5,6,0,0,0
4,5,7,0,0,0
4,5,8,0,0,0
4,5,9,0,0,0
4,5,10,0,0,0
4,5,11,0,0,0
4,5,12,0,0,0
4,5,13,0,0,0
4,5,14,0,0,0
4,5,15,0,0,0
4,5,16,0,0,0
4,5,17,0,0,0
4,5,18,0,0,0
4,5,19,0,0,0
4,6,0,0,0,0
4,6,1,0,0,0
4,6,2,0,0,0
4,6,3,0,0,0
4,6,4,0,0,0
4,6,5,0,0,0
4,6,6,0,0,0
4,6,7,0,0,0
4,6,8,0,0,0
4,6,9,0,0,0
4,6,10,0,0,0
4,6,11,0,0,0
4,6,12,0,0,0
4,6,13,0,0,0
4,6,14,0,0,0
4,6,15,0,0,0
4,6,16,0,0,0
4,6,17,0,0,0
4,6,18,0,0,0
4,6,19,0,0,0
4,7,0,0,0,0
4,7,1,0,0,0
4,7,2,0,0,0
4,7,3,0,0,0
4,7,4,0,0,0
4,7,5,0,0,0
4,7,6,0,0,0
4,7,7,0,0,0
4,7,8,0,0,0
4,7,9,0,0,0
4,7,10,0,0,0
4,7,11,0,0,0
4,7,12,0,0,0
4,7,13,0,0,0
4,7,14,0,0,0
4,7,15,0,0,0
4,7,16,0,0,0
4,7,17,0,0,0
4,7,18,0,0,0
4,7,19,0,0,0
4,8,0,0,0,0
4,8,1,0,0,0
4,8,2,0,0,0
4,8,3,0,0,0
4,8,4,0,0,0
4,8,5,0,0,0
4,8,6,0,0,0
4,8,7,0,0,0
4,8,8,0,0,0
4,8,9,0,0,0
4,8,10,0,0,0
4,8,11,0,0,0
4,8,12,0,0,0
4,8,13,0,0,0
4,8,14,0,0,0
4,8,15,0,0,0
4,8,16,0,0,0
4,8,17,0,0,0
4,8,18,0,0,0
4,8,19,0,0,0
4,9,0,0,0,0
4,9,1,0,0,0
4,9,2,0,0,0
4,9,3,0,0,0
4,9,4,0,0,0
4,9,5,0,0,0
4,9,6,0,0,0
4,9,7,0,0,0
4,9,8,0,0,0
4,9,9,0,0,0
4,9,10,0,0,0
4,9,11,0,0,0
4,9,12,0,0,0
4,9,13,0,0,0
4,9,14,0,0,0
4,9,15,0,0,0
4,9,16,0,0,0
